Visit Grant Eligible,Program Interest #1,Program Interest #2,Gender,High School Transcript GPA,ACT Composite Score,SAT Total Score,First Generation,Child of Alum,Child of Employee
No,"Biochemistry, BS","Biology, BS",M,3.61,,,Yes,No,No
No,"Biochemistry, BS",,M,3.699,,1210,No,No,No
Yes,"Chemistry, BS","Biochemistry, BS",F,3.938,,,No,No,No
No,"Biochemistry, BS","Criminology, BA",F,3.6,,,No,No,No
No,"Biochemistry, BS",Pre-Medicine,F,3.375,,1340,No,No,No
No,"Biochemistry, BS","Computer Science, BCS",F,3.256,,,No,No,No
No,"Biochemistry, BS","Chemistry, BS",F,3.208,,,No,No,No
No,"Biochemistry, BS",Pre-Medicine,F,4.05,,1110,No,No,No
Yes,"Chemistry, BS",,M,3.99,34,,No,No,No
No,"Biochemistry, BS",Pre-Medicine,F,4.33,,,Yes,No,No
No,"Chemistry, BS","History, BA",F,4.298,,1360,No,Yes,No
No,"Biochemistry, BS","Chemistry, BS",M,2.77,,,Yes,No,No
Yes,"Biochemistry, BS",Education,F,3.75,33,,No,No,No
Yes,"Biochemistry, BS",Pre-Pharmacy,F,4.62,,1290,No,No,No
Yes,"Biochemistry, BA",Undecided - Health Sciences,M,4,,1230,No,Yes,No
No,"Chemistry: Neuroscience Concentration, BS",,F,3.766,,,No,No,No
No,"Chemistry, BS",English Language Arts Education 7-12,F,4,,,No,No,No
No,"Biochemistry, BS",,F,4.2,,,No,No,No
No,"Biochemistry: Neuroscience Concentration, BS","Biology: Neuroscience Concentration, BS",M,4.18,,,No,No,No
No,"Chemistry, BS","Engineering: Chemical Engineering Concentration, BSE",F,4.16,33,,No,No,No
No,"Chemistry, BA",Science Education 7-12,F,4.28,,,No,No,No
No,"Biochemistry: ACS Concentration, BS","Biochemistry: Neuroscience Concentration, BS",F,4.089,,,Yes,No,No
No,"Chemistry, BS",Pre-Medicine,F,4.13,,,No,Yes,No
Yes,"Biochemistry, BA","Biology, BS",M,4,32,,No,No,No
Yes,"Biochemistry, BS","Spanish, BA",F,4,,,No,No,No
No,"Chemistry, BA",Pre-Medicine,F,3.107,,,No,No,No
No,"Chemistry, BS",Mathematics Education 7-12,M,4.211,,1160,Yes,No,No
No,"Biochemistry, BS","Music, BA",M,3.733,,1270,No,No,No
Yes,"Biochemistry, BA","Mathematics, BA",M,4.495,,1510,No,Yes,No
Yes,"Biochemistry, BS","Engineering: Chemical Engineering Concentration, BSE",M,3.99,,1290,No,No,No
No,"Biochemistry: Neuroscience Concentration, BS",Pre-Medicine,F,4.69,34,,No,No,No
No,"Biochemistry, BS","Biochemistry: Neuroscience Concentration, BS",M,3.293,,1150,Yes,No,No
Yes,"Biochemistry, BS","Spanish, BA",M,4.41,,,No,No,No
No,"Biochemistry: ACS Concentration, BS","Biology, BS",F,4.67,23,,Yes,No,No
No,"Biochemistry, BS","Psychology, BS",F,4.204,,,No,Yes,No
Yes,"Biochemistry, BS",Pre-Dentistry,F,4.008,,,No,Yes,No
Yes,"Biochemistry, BA","Psychology, BS",F,4.05,,1300,No,Yes,No
No,"Biochemistry, BA","Environmental Science: Natural Resources Track, BS",F,4.3,,,Yes,No,No
No,"Biochemistry: ACS Concentration, BS",Pre-Medicine,F,4.56,,1470,No,No,No
No,"Biochemistry, BS",Pre-Pharmacy,M,4.025,,1480,No,No,No
No,"Biochemistry, BS","Biochemistry, BA",M,3.808,,,No,No,No
Yes,"Chemistry, BS","Physics, BS",M,4.189,,1380,No,No,No
Yes,"Biochemistry, BS","Kinesiology: Exercise Science Emphasis, BS",M,4.034,28,,No,No,No
No,"Biochemistry, BS",Undecided,F,3.54,,,No,No,No
Yes,"Chemistry: ACS Concentration, BS",Pre-Medicine,F,4.644,32,,No,No,No
No,"Biochemistry: ACS Concentration, BS","Financial Planning, BS",F,4.1,,,Yes,No,No
No,"Chemistry, BS","Mathematics, BS",M,4.157,,1340,No,No,No
Yes,"Biochemistry: Neuroscience Concentration, BS","Psychology, BA",F,4.56,35,,No,Yes,No
No,"Biochemistry, BS",Undecided,M,3.82,,,Yes,No,No
No,"Biochemistry, BS","Chemistry, BS",M,4.35,,1260,No,No,No
No,"Biochemistry, BS","Engineering: Chemical Engineering Concentration, BSE",M,3.79,,,No,No,No
Yes,"Biochemistry, BA","Computer Science, BCS",M,4.289,,1410,No,No,No
No,"Biochemistry, BA",Pre-Medicine,F,4.313,,1190,No,No,No
No,"Chemistry, BS","Chemistry: ACS Concentration, BS",F,3.9,,,Yes,No,No
No,"Biochemistry, BS",Pre-nursing,F,3.981,,,No,No,No
No,"Biochemistry, BS",Education,F,3.383,,,Yes,No,No
Yes,"Chemistry, BS",Undecided,M,3.869,26,,No,No,No
No,"Chemistry, BA",,F,4.47,,1360,No,No,No
Yes,"Biochemistry, BS","Economics, BS",F,3.83,,1410,No,No,No
Yes,"Biochemistry, BS",,M,4.174,,1530,No,Yes,No
Yes,"Biochemistry, BS",Undecided,F,4.017,,,No,No,No
No,"Biochemistry: Neuroscience Concentration, BS","Biology, BS",F,3.357,20,,Yes,No,No
Yes,"Biochemistry: Neuroscience Concentration, BS","Kinesiology: Sport Management Emphasis, BA",F,3.88,,,No,No,No
Yes,"Biochemistry, BS",,F,3.947,,,No,No,No
Yes,"Chemistry, BS",Undecided,M,4,,1440,No,No,No
No,"Biochemistry, BA","Biochemistry, BS",F,4.032,,,Yes,No,No
No,"Biochemistry, BS",Pre-Medicine,F,4.488,,,No,No,No
No,"Biochemistry, BS",Pre-Dentistry,F,3.506,,940,No,No,No
Yes,"Biochemistry, BS","Engineering: Energy, Environment, and Sustainability Engineering Concentration, BSE",M,3.948,,1260,No,No,No
Yes,"Biochemistry, BS","Biology, BS",F,4.16,32,1510,No,Yes,No
No,"Biochemistry, BS","Religion, BA",M,4.16,33,,No,No,No
Yes,"Biochemistry, BS","Engineering: Civil and Environmental Engineering Concentration, BSE",F,3.992,,1120,No,No,No
